# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
0.00017002063 7.9658814e-06 64 399759 0.94773563 1.0024122 47052.79 0.38189436 9.1580595 -0.83310659 0.21269309 -0.42436252 0 -0.62176934 0 0.0003339652 -1.7847531e-06 0 0 -0.83310659 0.86060403 3.8612205 0.1958815 0.78777105 0.31638989 0 0 26756.139
0.00017582728 5.8066485e-06 65 399751 0.94474361 1.0057229 45164.751 0.3865835 9.3841045 -0.91331334 0.21179677 -0.42118313 0 -0.70426054 0 0.000335345 -1.7879463e-06 0 0 -0.91331334 0.86073233 3.3965738 0.20848557 0.78639517 0.32099692 0 0 25856.651
0.0001898076 1.3980326e-05 66 399736 0.93878497 1.0119504 46141.258 0.38847492 8.2072638 -1.2078317 0.2095878 -0.41422545 0 -1.0048242 0 0.0019039846 -0.00027380296 0 0 -1.2078317 0.86710327 3.3554793 0.20855256 0.78187461 0.32392468 0 0 26750.541
0.00021168452 2.1876922e-05 67 399671 0.92647388 1.0195752 42592.624 0.39396267 10.163422 -1.7077055 0.20395695 -0.40008223 0 -1.4921041 0 0.023380845 -0.042856931 0 0 -1.7077055 0.87382156 2.7086396 0.23112745 0.77852301 0.34394124 0 0 28341.44
0.0002299503 1.8265773e-05 68 399608 0.91666978 1.016164 46928.322 0.3970455 10.625787 -2.1740246 0.19620029 -0.38615874 0 -2.0649627 0 0.14967414 -0.068777638 0 0 -2.1740246 0.87986818 2.7858385 0.22590562 0.77170144 0.32105158 0 0 24810.677
0.00027091699 4.0966699e-05 69 399459 0.89917086 1.0235919 45065.566 0.40129258 10.154445 -1.8432373 0.1886546 -0.36861293 0 -2.1696204 0 0.75240953 -0.24606814 0 0 -1.8432373 0.88714988 2.3911499 0.24116622 0.76324538 0.34047042 0 0 27523.244
0.00030369035 3.2773359e-05 70 399354 0.88740021 1.025921 45482.258 0.40823426 9.1130751 -1.309088 0.18224596 -0.35528265 0 -2.295957 0 1.4426842 -0.28277844 0 0 -1.309088 0.89655259 2.1398465 0.25129806 0.75235837 0.35036754 0 0 28753.138
0.00033212069 2.8430338e-05 71 399274 0.87874726 1.0271164 44608.4 0.41518548 9.0679679 -0.66660233 0.1769582 -0.34457283 0 -2.1815613 0 2.0770533 -0.39447974 0 0 -0.66660233 0.9089756 1.8744186 0.26482247 0.74204873 0.35588836 0 0 28095.161
0.00034401583 1.1895137e-05 72 399243 0.87541564 1.0189732 45207.269 0.42015481 8.3413051 -0.35755629 0.17202273 -0.33763935 0 -2.1577355 0 2.3840098 -0.418214 0 0 -0.35755629 0.91910398 1.7498773 0.27093422 0.73352002 0.35678751 0 0 27682.746
0.00036311652 1.9100688e-05 73 399175 0.86960335 1.0181405 43347.454 0.42969619 8.5322831 0.21971089 0.1683201 -0.33064218 0 -2.1656207 0 2.9658679 -0.41821414 0 0 0.21971089 0.92351245 1.5567418 0.28320066 0.72318074 0.37515362 0 0 28847.389
